lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000488,132.8,97.875,99.575
E01000489,123.38,86.34,99.86
E01000490,102.44000000000001,78.9,99.6
E01000491,92.14666666000001,56.98,99.76
E01000492,131.475,92.575,98.35
E01000493,130.2,97.16,99.66
E01000494,102.36,53.760000000000005,99.38
E01000495,99.93333333333334,59.81666666666666,99.36666666666667
E01000497,77.03,90.06,97.17999999999999
E01000498,87.07499999999999,86.55,94.5
E01000499,93.0375,88.45,97.875
E01000501,92.17999999999999,62.120000000000005,99.62
E01000502,87.65,90.1,99.475
E01000503,66.1,50.5,98.28
E01000504,80.46000000000001,80.08,97.66
E01000505,109.35,95.95,100.0
E01000506,60.220000000000006,45.279999999999994,93.8
E01000507,120.175,91.65,99.8
E01000508,85.49,64.53999999999999,90.17999999999999
E01000509,71.5,48.5,96.525
E01000510,87.35,69.65,99.425
E01000511,81.9,87.625,100.0
E01000512,111.28,94.32000000000001,99.7
E01000513,130.575,95.75,99.8
E01000514,124.67500000000001,98.125,99.625
E01000515,115.04,74.96,100.0
E01000516,175.525,91.075,98.25
E01000517,152.42499999999998,97.025,100.0
E01000518,162.525,86.3,100.0
E01000519,150.18,97.4,100.0
E01000520,107.9,86.47999999999999,99.66
E01000521,79.03999999999999,59.4,99.2
E01000522,85.13,67.9,99.9
E01000523,85.82857142857142,64.51428571428572,99.47142857142856
E01000524,66.9125,49.75,98.95
E01000525,83.82000000000001,70.5,99.5
E01000526,103.0,67.01666666666667,99.8
E01000527,80.66,71.52000000000001,99.56
E01000528,104.62,62.620000000000005,99.92
E01000530,91.62,92.84,99.72
E01000531,80.37142857142858,84.52857142857144,100.0
E01000532,88.2,94.84,100.0
E01000533,73.62,26.32,92.26
E01000534,133.95999999999998,94.76,99.7
E01000535,111.32000000000001,82.32000000000001,98.9
E01000536,186.225,96.4,99.875
E01000538,204.875,99.6,100.0
E01000539,175.76,88.84,100.0
E01000540,216.70000000000002,99.6,100.0
E01000541,143.3,92.15,100.0
E01000543,126.175,97.975,99.125
E01000544,185.64000000000001,76.22,99.38
E01000545,110.88333333333333,80.53333333333333,98.46666666666665
E01000546,117.68333333333334,84.18333333333334,99.68333333333334
E01000547,132.70000000000002,94.96666666666665,99.75
E01000548,94.78571428571429,75.25714285714285,99.39999999999999
E01000549,129.2,96.33333333333333,100.0
E01000550,123.05,85.23333333333333,99.7
E01000551,141.56666666666666,78.8,89.58333333333333
E01000552,148.68333333333334,94.76666666666667,96.16666666666667
E01000553,98.86,86.12,94.14
E01000554,90.42,70.3,98.0
E01000555,90.925,81.5,98.775
E01000556,77.02000000000001,60.720000000000006,99.4
E01000557,94.17999999999999,82.47999999999999,99.52000000000001
E01000558,128.04000000000002,94.97999999999999,98.44
E01000559,89.47999999999999,73.28,99.72
E01000560,83.8,43.93333333333334,100.0
E01000561,150.11666666666667,88.55,100.0
E01000562,167.275,98.35,100.0
E01000563,163.05,98.825,99.8
E01000564,128.725,92.35,100.0
E01000565,145.175,96.55000000000001,99.8
E01000566,163.45,99.575,99.575
E01000567,121.825,80.25,98.375
E01000568,137.35999999999999,77.88,98.22
E01000569,168.575,99.175,100.0
E01000570,127.025,95.825,99.775
E01000571,149.8,98.275,99.825
E01000572,163.85,98.825,100.0
E01000573,150.575,98.8,100.0
E01000574,146.15,96.1,99.55
E01000575,144.68,85.94,97.38
E01000576,130.825,91.35,99.15
E01000577,108.0,73.55,89.25
E01000578,110.14000000000001,77.38,100.0
E01000579,109.67999999999999,93.24,99.06
E01000580,133.54000000000002,89.36,99.9
E01000581,97.52000000000001,84.86,99.17999999999999
E01000582,148.92000000000002,97.1,100.0
E01000583,119.14999999999999,87.41666666666667,99.7
E01000584,104.66,98.92,100.0
E01000585,104.85999999999999,98.88,100.0
E01000586,96.30833333333334,63.03333333333333,98.83333333333333
E01000587,129.75,97.075,97.675
E01000589,128.82666666,94.36,99.64
E01000590,130.42000000000002,97.34,100.0
E01000591,120.2,91.58,98.53999999999999
E01000592,131.9625,97.525,98.875
E01000593,113.64000000000001,87.96000000000001,100.0
E01000594,114.075,87.575,97.0
E01000595,56.45,20.975,90.65
E01000596,90.66,61.17999999999999,98.76
E01000599,87.05,31.03333333333333,97.3
E01000601,80.3,33.375,95.17500000000001
E01000602,146.89999999999998,92.925,100.0
E01000603,69.7,16.24,99.84
E01000604,162.2,86.725,100.0
E01000605,73.25,36.3,99.35
E01000606,153.76,92.94,99.64
E01000607,142.56,96.92,98.84
E01000608,109.95,62.833333333333336,98.7
E01000609,143.52,80.46000000000001,100.0
