lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,_merge,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.955,0.953,0.957,both,42.183,0.256,0.175,32.562,0.324,0.9940000000000001,48.266,23.563,2081,120.72,90.64,99.78
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.947,,,both,42.631,0.275,0.175,23.976,0.684,0.7619999999999999,44.376,33.8,1441,162.88,99.52000000000001,100.0
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.955,,,both,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.423999999999996,1747,153.18,97.26,100.0
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.978,,,both,33.632,0.216,0.12299999999999998,26.013,0.025,0.372,50.4,25.696,2372,142.7,85.84,99.9
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.971,,,both,25.602999999999998,0.123,0.075,16.187,0.167,0.9460000000000001,41.502,31.382,1523,142.275,96.95,100.0
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.956,,,both,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,1710,149.84,93.78,99.03999999999999
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.968,,,both,35.903,0.197,0.144,25.304,0.45499999999999996,0.485,51.736,23.506,1666,171.875,91.275,100.0
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.966,,,both,18.848,0.13,0.058,14.113999999999999,-0.261,-0.155,40.981,22.064,2541,112.05,74.0,100.0
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.94,,,both,34.522,0.227,0.141,24.526,0.045,0.253,48.007,29.325,1662,154.9,99.84,100.0
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.947,,,both,44.149,0.24600000000000002,0.165,36.132,0.932,1.039,47.24,25.589,2314,130.28333333333333,87.25,99.86666666666667
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.954,,,both,26.175,0.15,0.09200000000000001,25.536,0.3970000000000001,0.242,39.025,23.070999999999998,1799,168.48,94.62,97.7
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.948,,,both,38.757,0.209,0.135,35.14,0.57,1.346,43.442,23.636,1780,172.44,100.0,100.0
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.961,,,both,34.357,0.226,0.131,27.171,0.046,0.135,48.565,31.357,1447,162.45,93.5,99.25
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.948,,,both,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673000000000002,1814,124.05999999999999,93.82000000000001,100.0
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.951,,,both,29.957999999999995,0.146,0.106,23.035,0.095,0.913,39.922,38.369,1755,130.9,90.84,100.0
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.953,,,both,41.016,0.241,0.138,34.242,0.478,1.197,46.957,30.082,2112,148.57142857142858,82.41428571428571,100.0
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.941,,,both,33.185,0.19,0.146,26.379,0.445,0.145,45.385,24.492,1651,175.07999999999998,100.0,100.0
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.961,,,both,46.922,0.26,0.169,27.955,0.842,1.073,49.65699999999999,43.57,1719,121.16,95.0,98.7
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.926,,,both,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789,1997,144.01666666666668,91.3,99.89999999999999
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.958,,,both,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766,2058,124.24000000000001,79.84,94.88
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.959,,,both,35.67,0.20099999999999998,0.135,31.501,0.35,0.825,46.135,25.122,1669,156.18333333333334,82.38333333333334,100.0
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.925,,,both,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,1737,125.78333333333335,90.48333333333333,100.0
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.968,,,both,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639,2154,145.04000000000002,99.08,100.0
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.945,,,both,46.283,0.303,0.186,39.776,1.013,0.145,49.627,15.966999999999999,1854,142.35999999999999,99.34,99.78
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.963,,,both,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068,1500,141.35999999999999,99.14,100.0
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.953,,,both,19.27,0.112,0.073,15.969000000000001,-0.185,0.386,31.724,27.612000000000002,1493,172.825,99.625,99.8
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.94,,,both,28.332,0.15100000000000002,0.095,29.324,0.579,-0.027,44.429,22.813,1719,165.5,99.8,100.0
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.957,,,both,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982,1667,104.08333333333333,88.96666666666665,98.26666666666667
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.968,,,both,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,2155,131.48333333333332,90.33333333333333,98.58333333333333
E01034475,Barking and Dagenham 019F,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.981,,,both,33.768,0.215,0.106,18.788,-0.008,0.657,61.059,29.992999999999995,4485,130.40185185555555,88.37777777777778,96.55555555555556
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.938,,,both,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,1716,136.3,91.08,98.82000000000001
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.982,0.981,0.983,both,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692,2120,132.28000000000003,67.8,99.62
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.934,,,both,36.154,0.202,0.129,25.54,0.282,1.109,48.53,24.729,1955,146.13333333333333,99.13333333333333,99.75
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.908,,,both,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,1502,161.925,100.0,100.0
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.952,,,both,37.34700000000001,0.216,0.146,38.12200000000001,0.148,1.042,44.976,20.329,1858,139.92000000000002,96.4,98.12
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.96,,,both,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,1657,176.07999999999998,94.72,96.88
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.956,,,both,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464,1683,137.125,97.875,98.375
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.965,,,both,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657,1871,164.925,85.025,85.85
E01033918,Barnet 042D,E02006953,Barnet 042,E09000003,Barnet,0.991,,,both,17.932,0.082,0.038,4.998,-1.672,-0.434,45.751,53.327,2389,236.11999999999998,98.88,99.64000000000001
E01000133,Barnet 021C,E02000044,Barnet 021,E09000003,Barnet,0.96,,,both,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72,1674,102.97999999999999,96.67999999999999,100.0
E01000181,Barnet 029D,E02000052,Barnet 029,E09000003,Barnet,0.97,,,both,8.204,0.058,0.039,0.31,-1.634,0.07,20.819000000000003,29.674,1746,89.8,43.12,99.67999999999999
E01000185,Barnet 029F,E02000052,Barnet 029,E09000003,Barnet,0.933,,,both,25.824,0.239,0.128,12.502,-0.20800000000000002,-0.438,32.704,19.475,1547,94.16,82.0,99.67999999999999
E01000189,Barnet 014D,E02000037,Barnet 014,E09000003,Barnet,0.974,,,both,24.526,0.149,0.091,25.611,-0.871,-0.44399999999999995,38.504,43.589,1481,119.475,63.8,90.94
E01000226,Barnet 018D,E02000041,Barnet 018,E09000003,Barnet,0.97,,,both,31.657999999999998,0.224,0.123,23.481,0.37299999999999994,-0.171,41.017,30.803,1792,117.96,97.42,100.0
E01000306,Barnet 036C,E02000059,Barnet 036,E09000003,Barnet,0.971,,,both,14.045,0.075,0.044,13.001999999999999,-0.947,0.15600000000000003,32.814,31.348,1677,121.0875,95.3,100.0
E01000312,Barnet 036E,E02000059,Barnet 036,E09000003,Barnet,0.968,,,both,24.927,0.151,0.096,9.643,-0.25,-0.218,54.472,21.426,1766,69.03999999999999,20.78,100.0
E01033916,Barnet 042B,E02006953,Barnet 042,E09000003,Barnet,0.984,,,both,20.797000000000004,0.135,0.062000000000000006,12.175000000000002,-1.303,-0.128,39.038,47.35,3602,80.25833332857142,16.442857142857143,99.7
E01033923,Barnet 043C,E02006954,Barnet 043,E09000003,Barnet,0.973,,,both,27.670999999999996,0.186,0.11499999999999999,15.794000000000002,-0.042,0.009,43.166,29.844000000000005,2649,108.50999999999999,64.6,99.96000000000001
