lsoa_code,PC1,PC2,quadrant
E01000020,4.141310864959244,0.8311600535072418,"Q1 (+PC1,+PC2)"
E01000069,-1.1963802453572625,1.7479987785706517,"Q2 (-PC1,+PC2)"
E01000075,3.4503511901600215,1.1738890278138816,"Q1 (+PC1,+PC2)"
E01000088,2.1414745817183096,1.098610465210453,"Q1 (+PC1,+PC2)"
E01000091,4.367535033964274,0.22510066363644685,"Q1 (+PC1,+PC2)"
E01000102,4.6062599758678,1.2686125787525049,"Q1 (+PC1,+PC2)"
E01000013,4.127658499768043,0.631643106439706,"Q1 (+PC1,+PC2)"
E01000015,2.0468365385701044,0.19577580082581744,"Q1 (+PC1,+PC2)"
E01000068,1.1696532038451855,0.34304744945364746,"Q1 (+PC1,+PC2)"
E01000045,3.127707598518093,0.540494206631924,"Q1 (+PC1,+PC2)"
E01000056,4.201544195126253,0.8502258652130013,"Q1 (+PC1,+PC2)"
E01000071,-0.2976663919389925,-0.13436872877512682,"Q3 (-PC1,-PC2)"
E01000079,3.422158743845686,1.8618355585208552,"Q1 (+PC1,+PC2)"
E01000105,5.519231884767486,-0.10691197341164219,"Q4 (+PC1,-PC2)"
E01000035,2.3152879277421867,1.367702672719363,"Q1 (+PC1,+PC2)"
E01000073,3.822520442363551,1.370950962591953,"Q1 (+PC1,+PC2)"
E01000087,2.6900321361077015,0.757170470440916,"Q1 (+PC1,+PC2)"
E01000098,4.6726043158677575,0.9457259105513659,"Q1 (+PC1,+PC2)"
E01000032,2.4895865317536963,0.4867019243499281,"Q1 (+PC1,+PC2)"
E01000072,4.47571891701865,0.3443897182074652,"Q1 (+PC1,+PC2)"
E01000080,3.3517469485690476,2.321959392611708,"Q1 (+PC1,+PC2)"
E01000093,4.809358511234119,-0.19508213004810152,"Q4 (+PC1,-PC2)"
E01000111,2.432681938380268,1.2248256079826223,"Q1 (+PC1,+PC2)"
E01000112,0.47153703882466014,-0.42171798562483265,"Q4 (+PC1,-PC2)"
E01000014,3.728456926987951,0.8367556510597405,"Q1 (+PC1,+PC2)"
E01000029,1.7911032585583901,1.4021366171685277,"Q1 (+PC1,+PC2)"
E01000070,0.3120905190200316,0.4449500595540605,"Q1 (+PC1,+PC2)"
E01000061,5.353665723699896,0.6210465042603972,"Q1 (+PC1,+PC2)"
E01000103,2.234871586980228,0.36720388316300967,"Q1 (+PC1,+PC2)"
E01000036,0.2827714473450638,1.5600877589066404,"Q1 (+PC1,+PC2)"
E01000107,2.8152651563925346,2.4129925817977824,"Q1 (+PC1,+PC2)"
E01000096,3.655922998962773,-0.5877452819561407,"Q4 (+PC1,-PC2)"
E01000030,3.8854701934686844,-0.0305759816469565,"Q4 (+PC1,-PC2)"
E01034475,2.690917983252578,0.09999308679103378,"Q1 (+PC1,+PC2)"
E01000031,0.7862809895873509,0.5138162310926891,"Q1 (+PC1,+PC2)"
E01000094,-0.4902035196777437,-2.379339878721609,"Q3 (-PC1,-PC2)"
E01000060,3.606586322735881,0.5249088236769204,"Q1 (+PC1,+PC2)"
E01000034,5.31598026204096,2.833477605831686,"Q1 (+PC1,+PC2)"
E01000027,4.511817392996488,0.8148717517319994,"Q1 (+PC1,+PC2)"
E01000039,0.8552524378736862,1.025006280929722,"Q1 (+PC1,+PC2)"
E01000090,1.6080821009754258,0.42531878202452117,"Q1 (+PC1,+PC2)"
E01000095,1.8559576776134394,-2.0011211219417784,"Q4 (+PC1,-PC2)"
E01033918,-3.9159666564107156,0.453045770905313,"Q2 (-PC1,+PC2)"
E01000133,3.294332983035325,1.0454525129464747,"Q1 (+PC1,+PC2)"
E01000181,-3.4714626553703285,-2.265492695882701,"Q3 (-PC1,-PC2)"
E01000185,2.5491581453921417,0.6826261029339155,"Q1 (+PC1,+PC2)"
E01000189,-0.45267956969250805,-1.6861820612754674,"Q3 (-PC1,-PC2)"
E01000226,2.852179521234393,1.1366306288323422,"Q1 (+PC1,+PC2)"
E01000306,-1.3207162902498566,0.955039745860071,"Q2 (-PC1,+PC2)"
E01000312,1.457505831944978,-1.7630023072497663,"Q4 (+PC1,-PC2)"
E01033916,-0.9979290029133675,-2.19885165773693,"Q3 (-PC1,-PC2)"
E01033923,0.3018808736908745,-0.8896615540795787,"Q4 (+PC1,-PC2)"
E01000126,2.276815367917758,-1.8633934105866683,"Q4 (+PC1,-PC2)"
E01000134,0.7964447791765705,1.2454741620631087,"Q1 (+PC1,+PC2)"
E01000137,1.9555051302132018,-0.4394973423459649,"Q4 (+PC1,-PC2)"
E01000145,-1.4074325276605666,1.2428242278695405,"Q2 (-PC1,+PC2)"
E01000151,4.372804035372582,0.04077506872629044,"Q1 (+PC1,+PC2)"
E01000154,2.2260032133912775,-1.4440617602763275,"Q4 (+PC1,-PC2)"
E01000165,-1.4980951467859909,-0.7741940745227286,"Q3 (-PC1,-PC2)"
E01000217,-2.7132949850315504,0.4640568724913154,"Q2 (-PC1,+PC2)"
E01000219,-0.14792227876925954,0.5471985043514533,"Q2 (-PC1,+PC2)"
E01000236,-2.39621317547126,-1.1083599587546609,"Q3 (-PC1,-PC2)"
E01000140,-1.3885845232468985,-0.7054766678783625,"Q3 (-PC1,-PC2)"
E01000143,2.7454353463261416,-0.7164262420785226,"Q4 (+PC1,-PC2)"
E01000147,-1.6501831858149947,-0.5495986824626852,"Q3 (-PC1,-PC2)"
E01000182,-3.1435514613975504,-1.623867251091893,"Q3 (-PC1,-PC2)"
E01000216,-2.735437304800301,0.4676202587431483,"Q2 (-PC1,+PC2)"
E01000224,0.1761326621309919,0.44641013579421657,"Q1 (+PC1,+PC2)"
E01000238,-2.162614834802882,0.5605123362808623,"Q2 (-PC1,+PC2)"
E01000242,-0.6660857823523715,-0.6668121034438489,"Q3 (-PC1,-PC2)"
E01000277,-0.07902307279529551,-2.4559807825757782,"Q3 (-PC1,-PC2)"
E01000295,-3.0209490282794627,0.009028675204336489,"Q2 (-PC1,+PC2)"
E01000297,-2.5380099301518007,1.0620006758671017,"Q2 (-PC1,+PC2)"
E01000299,-0.5155856368845775,-0.4971763260968122,"Q3 (-PC1,-PC2)"
E01000300,-2.6010554117283693,0.14051494920199756,"Q2 (-PC1,+PC2)"
E01000304,-2.370391831955052,0.630073201406728,"Q2 (-PC1,+PC2)"
E01000317,-1.8667521572519017,0.28995106699211465,"Q2 (-PC1,+PC2)"
E01000319,-3.06788722213465,0.6282364069183746,"Q2 (-PC1,+PC2)"
E01000130,2.5284205845922196,-0.31699018607228535,"Q4 (+PC1,-PC2)"
E01000163,2.850219905891176,-1.8359307719967253,"Q4 (+PC1,-PC2)"
E01000179,-3.70633324634143,-1.3535124251238575,"Q3 (-PC1,-PC2)"
E01000215,-1.0864231926970664,-0.09815101357894968,"Q3 (-PC1,-PC2)"
E01000220,0.3915562656728392,0.9212915401500986,"Q1 (+PC1,+PC2)"
E01000269,-2.0579266621817935,-0.06837838793359124,"Q3 (-PC1,-PC2)"
E01000293,-3.0197760498598387,-0.1513644185125936,"Q3 (-PC1,-PC2)"
E01000120,-3.014909464050834,1.9899230774035752,"Q2 (-PC1,+PC2)"
E01000127,2.0524969200011562,0.9740071904762047,"Q1 (+PC1,+PC2)"
E01000157,-2.0499028718505374,-1.6297648696588911,"Q3 (-PC1,-PC2)"
E01000180,-0.28569326158638914,0.36034086122831566,"Q2 (-PC1,+PC2)"
E01000225,-1.9369399271666077,0.2966544111413751,"Q2 (-PC1,+PC2)"
E01000245,1.5334573170684451,-0.8961066329306098,"Q4 (+PC1,-PC2)"
E01000286,1.9884258594231186,0.8291750122660714,"Q1 (+PC1,+PC2)"
