lsoa_code,PC1,PC2
E01000169,-1.5347636920609802,-1.7455759823522154
E01000176,4.678680661653009,-4.859629410813806
E01000190,-2.0763049153110504,-0.1752848663866231
E01000197,-2.732625041009683,0.3907095906939032
E01000205,-4.785751387074592,-0.1519444818015498
E01000227,-1.9772208365056336,1.881111085973859
E01000251,1.229411188881715,-3.5375575263184658
E01000291,4.300037506086832,-3.1251255260037856
E01000292,-1.0417461433419526,-2.576719789391842
E01000191,-2.1619042955318726,-0.2291852242159853
E01000218,-0.5870490665922029,2.0519519352670343
E01000252,-0.7043974267702889,-3.281270827050454
E01000267,-2.7550520570315715,-0.78499970661545
E01000289,5.386296257944122,0.0746858937103751
E01000115,-2.7032322805410454,-0.9000729509160204
E01000122,-2.1330888959101126,-0.6823194620835977
E01000128,2.729426160377024,3.1971434010394284
E01000131,0.4777846867989869,2.3817609647795197
E01000152,-0.41715591933633006,2.821972119561406
E01000158,-0.4600374546096528,-1.1386394474356012
E01000170,1.295115032402677,-0.6919804455128261
E01000177,-4.818419996591671,-1.3828563530246047
E01000263,-5.467798311055467,0.9161432899521065
E01000281,-3.5099209909238205,-1.2414867655842605
E01000287,3.2436236972512136,-1.1135795648296076
E01000294,-0.3772793914490171,-2.6960366433829965
E01000313,1.0540854584959995,3.071442347461913
E01000138,1.479747470175626,0.5682612159264588
E01000146,-1.138130196788294,-0.8877804453279349
E01000168,-1.90401124551991,-1.1451898538362966
E01000171,0.6850729950793311,-0.46684084956416255
E01000183,-1.4003605377679604,-2.85910075301489
E01000187,-0.8067093039156396,-0.003504194480773214
E01000192,-0.5715439916095187,1.113555489555846
E01000195,3.011904827990868,0.6065974442604937
E01000196,-0.9245853640892829,-1.634323290691955
E01000285,-0.6114494442148165,-0.9679381592569796
E01000298,-2.943680305432731,0.7303390408377167
E01000315,4.931895004064655,-1.272681960856406
E01000323,1.6821468253025653,-1.4972383764328763
E01000116,-1.6688436268241889,0.1086543076395785
E01000214,-4.581286322971453,-0.6223545934672053
E01000231,-0.8492441760169647,1.0767655361852981
E01000235,0.7275115838691943,1.3253114023025585
E01000243,-0.8460111065072823,1.508571459959794
E01000270,-2.3764809209463538,-1.220334399979008
E01000302,0.17287407668884658,-1.5995599406501548
E01000322,-0.8379943398680524,-0.31873677879635554
E01000200,-2.6533519346349914,-1.0274610552850476
E01000203,-0.6454274529083505,0.5630162924094089
E01000229,1.5379895534331796,0.3939577820108088
E01000232,-0.8380647912221544,-0.9472672868597712
E01000247,-3.2325181778770777,-1.191182012316173
E01000271,-3.01169143687345,-0.33538109285367246
E01000303,-3.8488109815249816,0.9543474873020249
E01000318,-0.5158610749944154,0.38714515528176274
E01000136,-4.17889222659345,0.045798930208239164
E01000141,1.6789184574853808,1.3236946832798981
E01000159,-0.8518726909033257,0.1550146273872655
E01000160,-3.441510541596309,1.4820665558518396
E01000173,-2.4624808154427886,-1.0057507640355923
E01000201,-4.728189467822734,1.7404458542389392
E01000204,-3.524307259129608,-1.2891424192492782
E01000237,-3.139614459311969,3.2222274996184104
E01000278,-4.977631338030592,1.6712795385685162
E01000296,-3.2859056704859446,0.4958302069784696
E01000316,-0.12705139481075386,-0.15578087716572056
E01000161,-0.32918785096498826,-0.9805749313768186
E01000166,-0.10892264670870819,-1.6330490912199631
E01000194,0.35016914713517844,2.782578110304642
E01000199,-3.0165037013019935,-1.3394741253963922
E01000208,-5.3771815328605275,-0.1559521811286243
E01000209,-3.0739668381611374,-2.3856874476592087
E01000248,-2.5319801973386378,-3.096511182055714
E01000284,-0.4423523290433979,-0.48320003192323624
E01000301,-3.9231053076059013,-0.5868576368161209
E01000139,-3.176862620161786,0.2733442123687913
E01000167,4.109186574205058,-2.7759012124327116
E01000186,-4.175266659911765,1.7566201039277138
E01000198,-3.4294184708333835,1.8205286810183698
E01000222,1.578496822909348,1.1172189388277802
E01000223,3.03861581253977,2.3228817231656924
E01000234,-3.437354594979742,1.672729352112185
E01000274,-0.39967703865888393,0.7371373342010158
E01000121,5.632381915636963,-4.532595270054817
E01000123,-2.358939195863274,0.9684959489410542
E01000164,1.8966487929475753,-0.26630277221032655
E01000178,-3.637561920657845,-2.0524849576203352
E01000184,3.4249423839362536,-2.483627068781813
E01000193,-0.38973402339475977,0.30525031636837985
