lsoa_code,region,lad_name,dpi_score,dpi_ci_upper,dpi_ci_lower
E01000643,London,Brent,0.943,,
E01000644,London,Brent,0.955,,
E01000645,London,Bromley,0.977,,
E01000646,London,Bromley,0.951,,
E01000647,London,Bromley,0.966,,
E01000648,London,Bromley,0.963,,
E01000649,London,Bromley,0.96,,
E01000650,London,Bromley,0.942,,
E01000651,London,Bromley,0.955,,
E01000652,London,Bromley,0.953,,
E01000653,London,Bromley,0.945,,
E01000654,London,Bromley,0.949,,
E01000655,London,Bromley,0.968,,
E01000656,London,Bromley,0.953,,
E01000657,London,Bromley,0.953,,
E01000658,London,Bromley,0.92,,
E01000659,London,Bromley,0.973,,
E01000661,London,Bromley,0.955,,
E01000662,London,Bromley,0.954,,
E01000663,London,Bromley,0.922,,
E01000664,London,Bromley,0.946,,
E01000665,London,Bromley,0.941,,
E01000666,London,Bromley,0.949,,
E01000667,London,Bromley,0.937,,
E01000668,London,Bromley,0.969,,
E01000669,London,Bromley,0.955,,
E01000670,London,Bromley,0.974,,
E01000671,London,Bromley,0.945,,
E01000672,London,Bromley,0.957,,
E01000673,London,Bromley,0.965,,
E01000674,London,Bromley,0.966,,
E01000675,London,Bromley,0.971,,
E01000676,London,Bromley,0.953,,
E01000677,London,Bromley,0.96,,
E01000678,London,Bromley,0.966,,
E01000679,London,Bromley,0.953,,
E01000680,London,Bromley,0.953,,
E01000681,London,Bromley,0.96,,
E01000682,London,Bromley,0.933,,
E01000683,London,Bromley,0.945,,
E01000684,London,Bromley,0.965,,
E01000685,London,Bromley,0.946,,
E01000686,London,Bromley,0.939,,
E01000687,London,Bromley,0.935,,
E01000688,London,Bromley,0.949,,
E01000689,London,Bromley,0.968,,
E01000690,London,Bromley,0.966,,
E01000691,London,Bromley,0.949,,
E01000692,London,Bromley,0.944,,
E01000693,London,Bromley,0.933,,
E01000694,London,Bromley,0.959,,
E01000695,London,Bromley,0.943,,
E01000696,London,Bromley,0.969,,
E01000697,London,Bromley,0.97,,
E01000698,London,Bromley,0.95,,
E01000699,London,Bromley,0.976,,
E01000700,London,Bromley,0.955,,
E01000701,London,Bromley,0.979,,
E01000702,London,Bromley,0.967,,
E01000703,London,Bromley,0.967,,
E01000704,London,Bromley,0.949,,
E01000705,London,Bromley,0.963,,
E01000706,London,Bromley,0.948,,
E01000707,London,Bromley,0.966,,
E01000708,London,Bromley,0.979,,
E01000709,London,Bromley,0.93,,
E01000710,London,Bromley,0.964,,
E01000711,London,Bromley,0.956,,
E01000712,London,Bromley,0.966,,
E01000713,London,Bromley,0.96,,
E01000714,London,Bromley,0.965,,
E01000715,London,Bromley,0.937,,
E01000716,London,Bromley,0.955,,
E01000717,London,Bromley,0.959,,
E01000718,London,Bromley,0.969,,
E01000719,London,Bromley,0.952,,
E01000720,London,Bromley,0.956,,
E01000721,London,Bromley,0.959,,
E01000722,London,Bromley,0.944,,
E01000723,London,Bromley,0.935,,
E01000724,London,Bromley,0.945,0.948,0.942
E01000725,London,Bromley,0.94,,
E01000726,London,Bromley,0.938,,
E01000727,London,Bromley,0.941,,
E01000728,London,Bromley,0.936,,
E01000729,London,Bromley,0.94,,
E01000730,London,Bromley,0.938,,
E01000731,London,Bromley,0.932,,
E01000732,London,Bromley,0.945,,
E01000733,London,Bromley,0.942,,
E01000734,London,Bromley,0.969,,
E01000735,London,Bromley,0.941,,
E01000736,London,Bromley,0.935,,
E01000737,London,Bromley,0.929,,
E01000738,London,Bromley,0.931,,
E01000739,London,Bromley,0.936,,
E01000740,London,Bromley,0.971,,
E01000741,London,Bromley,0.965,,
E01000742,London,Bromley,0.961,,
E01000743,London,Bromley,0.934,,
E01000744,London,Bromley,0.939,,
E01000745,London,Bromley,0.969,,
E01000746,London,Bromley,0.954,,
E01000747,London,Bromley,0.964,,
E01000748,London,Bromley,0.924,,
E01000749,London,Bromley,0.931,,
