lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p
E01001410,Enfield 005C,E02000281,Enfield 005,E09000010,Enfield,0.964,,,45.507,0.285,0.187,39.30599999999999,0.482,0.189,61.54599999999999,27.969,1684,133.11666666666667,97.43333333333334,99.28333333333335,122.0,72.44655581947744,4.296558010022521
E01001434,Enfield 007B,E02000283,Enfield 007,E09000010,Enfield,0.955,,,28.190999999999995,0.172,0.09499999999999999,34.912,-0.36100000000000004,0.441,42.28699999999999,27.392000000000003,1610,147.65,97.075,99.325,58.0,36.024844720496894,3.6115891662354636
E01001438,Enfield 007E,E02000283,Enfield 007,E09000010,Enfield,0.969,,,34.949,0.246,0.14,29.997,-0.242,0.771,40.608000000000004,28.685,1678,140.825,91.675,99.125,140.0,83.43265792610251,4.4359542690114635
E01001444,Enfield 001A,E02000277,Enfield 001,E09000010,Enfield,0.949,,,22.75,0.137,0.076,22.704,-0.474,0.323,39.948,28.799000000000003,1794,139.24,93.6,97.44,126.0,70.23411371237458,4.265971828847914
E01001449,Enfield 003E,E02000279,Enfield 003,E09000010,Enfield,0.967,,,29.422,0.21700000000000003,0.105,31.872,-0.484,0.164,45.914,18.385,1697,158.375,98.1,99.5,94.0,55.3918680023571,4.032324963753079
E01001456,Enfield 022A,E02000298,Enfield 022,E09000010,Enfield,0.964,,,5.686,0.052,0.029,1.274,-1.5669999999999997,-0.587,20.458,22.078,1404,215.2,96.45,97.75,39.0,27.777777777777775,3.3596034843633182
E01001472,Enfield 010D,E02000286,Enfield 010,E09000010,Enfield,0.94,,,13.773999999999997,0.1,0.056,8.182,-1.211,-0.654,39.598,16.931,1733,129.01666666666668,91.85000000000001,99.78333333333335,63.0,36.353144835545294,3.620417107111801
E01001539,Enfield 009B,E02000285,Enfield 009,E09000010,Enfield,0.94,,,15.185,0.102,0.074,8.01,-0.657,0.211,26.142,26.626,1659,146.78,96.66,99.34,64.0,38.577456298975285,3.678259670776576
E01001546,Enfield 001C,E02000277,Enfield 001,E09000010,Enfield,0.951,,,27.925,0.189,0.117,33.148,-0.005,-0.199,36.364000000000004,24.43,1897,141.14000000000001,94.7,97.76,105.0,55.35055350553505,4.0315920630734805
E01001393,Enfield 036C,E02000312,Enfield 036,E09000010,Enfield,0.979,,,19.095,0.113,0.075,8.21,-0.294,0.036,35.572,34.731,2180,131.38,77.22,97.06,86.0,39.44954128440367,3.700055303128794
E01001398,Enfield 021A,E02000297,Enfield 021,E09000010,Enfield,0.968,,,9.217,0.067,0.045,4.952,-0.813,-0.319,20.29,28.266,1375,166.525,98.275,100.0,43.0,31.27272727272727,3.4742225166770453
E01001411,Enfield 004B,E02000280,Enfield 004,E09000010,Enfield,0.969,,,13.411,0.10300000000000001,0.065,8.091,-0.959,-0.194,25.942,26.137,1905,139.23333333333332,91.31666666666666,99.31666666666666,151.0,79.26509186351706,4.38533480493352
E01001481,Enfield 018C,E02000294,Enfield 018,E09000010,Enfield,0.97,,,26.529,0.18500000000000003,0.104,22.741,-0.324,0.221,37.466,31.52,1709,123.35000000000001,98.725,99.825,108.0,63.19485078993564,4.161923001715019
E01001528,Enfield 032B,E02000308,Enfield 032,E09000010,Enfield,0.96,,,34.923,0.22900000000000004,0.143,30.325,-0.209,0.34,46.269,31.658,1331,118.46,91.4,99.08,217.0,163.03531179564237,5.100081720474161
E01001551,Enfield 002E,E02000278,Enfield 002,E09000010,Enfield,0.948,,,42.143,0.233,0.162,35.935,0.051,1.015,52.633,33.024,1782,130.57999999999998,91.28,98.66,169.0,94.83726150392818,4.562651560335452
E01001564,Enfield 022B,E02000298,Enfield 022,E09000010,Enfield,0.967,,,10.265,0.071,0.051,1.389,-0.642,-0.123,27.541000000000004,20.985000000000003,1666,160.42000000000002,84.28,99.08,132.0,79.23169267707082,4.3849186073501984
E01032574,Enfield 037E,E02006793,Enfield 037,E09000010,Enfield,0.967,,,31.481000000000005,0.179,0.102,27.832,-0.038,0.706,48.043,29.495,2213,114.73999999999998,88.16,99.12,414.0,187.07636692272933,5.236848087386001
E01001390,Enfield 036A,E02000312,Enfield 036,E09000010,Enfield,0.971,,,10.543,0.077,0.045,3.039,-1.346,-0.038,29.976,22.824,2096,136.22,86.47999999999999,99.34,93.0,44.37022900763358,3.8148561412195274
E01001394,Enfield 035A,E02000311,Enfield 035,E09000010,Enfield,0.949,,,26.964,0.207,0.081,14.815,-0.543,0.486,40.842,37.749,1806,122.34,79.5,98.9,138.0,76.41196013289037,4.3491412923388815
E01001426,Enfield 030B,E02000306,Enfield 030,E09000010,Enfield,0.973,,,41.035,0.246,0.142,36.839,0.224,1.178,49.288,26.077,1968,118.08,93.47999999999999,98.97999999999999,168.0,85.3658536585366,4.458592385407596
E01001457,Enfield 010A,E02000286,Enfield 010,E09000010,Enfield,0.965,,,13.890999999999998,0.09099999999999998,0.068,7.307,-0.634,-1.011,37.43,16.569,1668,124.41666666666667,86.43333333333334,98.06666666666666,96.0,57.55395683453238,4.06994866819635
E01001469,Enfield 008A,E02000284,Enfield 008,E09000010,Enfield,0.958,,,23.277,0.139,0.108,16.734,-0.703,-0.538,50.034,12.434,1727,136.26,88.05999999999999,98.08,78.0,45.1650260567458,3.8322224996508547
E01001525,Enfield 020E,E02000296,Enfield 020,E09000010,Enfield,0.956,,,16.784,0.10700000000000001,0.067,5.236,-0.535,0.052,35.44,30.573,1944,131.38,92.58,98.16,74.0,38.065843621399175,3.66524852054125
E01001552,Enfield 001D,E02000277,Enfield 001,E09000010,Enfield,0.958,,,26.37,0.14400000000000002,0.088,26.602,-0.729,0.461,44.684,34.496,1845,139.94,91.4,97.5,114.0,61.78861788617886,4.139773813196847
E01001570,Enfield 026E,E02000302,Enfield 026,E09000010,Enfield,0.976,,,17.923,0.124,0.076,10.855,-0.576,0.211,33.615,22.863,2014,119.5,88.72,98.84,105.0,52.13505461767627,3.972836872728078
E01001402,Enfield 021D,E02000297,Enfield 021,E09000010,Enfield,0.951,,,8.991,0.07,0.049,4.963,-1.25,-0.308,25.871,17.202,1970,171.76,88.94000000000001,93.17999999999999,88.0,44.670050761421315,3.82144273867913
E01001405,Enfield 015A,E02000291,Enfield 015,E09000010,Enfield,0.917,,,12.081,0.09199999999999998,0.051,4.783,-0.366,-0.435,31.639,16.778,1865,132.38333333333333,77.55,98.39999999999999,73.0,39.14209115281501,3.6924254384939035
E01001414,Enfield 004E,E02000280,Enfield 004,E09000010,Enfield,0.937,0.934,0.94,42.821,0.277,0.185,37.323,0.188,-0.377,50.694,35.879,1576,129.83999999999997,95.1,99.24,95.0,60.27918781725889,4.115440271709696
E01001416,Enfield 013A,E02000289,Enfield 013,E09000010,Enfield,0.958,,,7.674,0.061,0.033,3.893,-1.522,-0.6,25.336,24.253999999999998,1713,161.7,98.74,100.0,50.0,29.18855808523059,3.4074629812409603
E01001429,Enfield 030D,E02000306,Enfield 030,E09000010,Enfield,0.954,,,46.391,0.312,0.186,37.857,0.353,1.063,37.697,38.425,2554,97.29285714285713,73.25714285714285,91.82857142857142,1104.0,432.26311667971805,6.071345203220454
E01001498,Enfield 029B,E02000305,Enfield 029,E09000010,Enfield,0.972,,,17.405,0.12,0.063,7.079,-0.743,0.196,31.783,36.392,2036,126.44000000000001,83.03999999999999,98.97999999999999,290.0,142.4361493123772,4.965889983651938
E01001524,Enfield 019D,E02000295,Enfield 019,E09000010,Enfield,0.961,,,21.144,0.151,0.098,12.275000000000002,-0.56,-0.6,41.006,22.152,1669,136.7,82.47999999999999,96.78,46.0,27.561414020371483,3.3520566467629873
E01001526,Enfield 019E,E02000295,Enfield 019,E09000010,Enfield,0.95,,,10.158,0.05600000000000001,0.036,4.319,-1.4390000000000003,-1.061,43.839,12.115,1687,146.64000000000001,92.67999999999999,99.12,35.0,20.74688796680498,3.0794706653115114
E01001538,Enfield 009A,E02000285,Enfield 009,E09000010,Enfield,0.958,,,11.124,0.063,0.059,10.365999999999998,-1.086,-0.223,29.331,18.826,1642,160.22,99.16,99.64,59.0,35.931790499390985,3.609072711290344
E01001556,Enfield 035E,E02000311,Enfield 035,E09000010,Enfield,0.966,,,19.27,0.129,0.075,16.777,-0.783,-0.277,34.911,33.417,1691,158.4,95.025,100.0,62.0,36.66469544648137,3.6287231953955414
E01001560,Enfield 035F,E02000311,Enfield 035,E09000010,Enfield,0.957,,,34.488,0.20000000000000004,0.109,29.21,-0.351,1.023,50.102,31.934,1671,144.775,98.35,99.8,127.0,76.00239377618193,4.343836509372824
E01001563,Enfield 029C,E02000305,Enfield 029,E09000010,Enfield,0.962,,,16.576,0.118,0.065,4.299,-0.726,-0.056,29.754,39.106,1728,126.54,83.42,98.6,95.0,54.976851851851855,4.024938245490082
E01033150,Enfield 003G,E02000279,Enfield 003,E09000010,Enfield,0.988,,,26.753,0.213,0.097,18.953,-0.6,-0.169,46.694,23.27,1938,149.125,97.975,98.2,85.0,43.859649122807014,3.8035387074566365
E01001395,Enfield 035B,E02000311,Enfield 035,E09000010,Enfield,0.957,,,35.279,0.233,0.172,21.526,-0.301,0.654,46.688,20.781,1659,144.0,94.8,98.97999999999999,95.0,57.26341169379144,4.064974309614043
E01001397,Enfield 035C,E02000311,Enfield 035,E09000010,Enfield,0.985,,,24.623,0.188,0.1,12.449,-0.921,0.283,40.327,29.06,2239,139.66,89.1,97.17999999999999,133.0,59.4015185350603,4.101014245933677
E01001421,Enfield 020C,E02000296,Enfield 020,E09000010,Enfield,0.955,,,26.74,0.19,0.10200000000000001,14.862,-0.257,-0.172,47.009,27.170000000000005,1655,134.46666666666667,84.88333333333334,98.73333333333333,85.0,51.3595166163142,3.9581337090723125
E01001440,Enfield 012A,E02000288,Enfield 012,E09000010,Enfield,0.931,,,30.550999999999995,0.20600000000000002,0.119,28.439,-0.525,0.866,37.588,28.031,1678,132.4,92.74,98.74,144.0,85.81644815256257,4.463796098559615
E01001465,Enfield 031B,E02000307,Enfield 031,E09000010,Enfield,0.959,,,24.442,0.151,0.091,25.934,-0.8350000000000001,0.193,42.021,28.202,1620,136.875,97.4,99.65,130.0,80.24691358024691,4.39749283378368
E01001500,Enfield 035D,E02000311,Enfield 035,E09000010,Enfield,0.966,,,19.827,0.12000000000000001,0.069,9.3,-0.688,0.67,35.249,33.173,1601,145.325,92.725,97.85,108.0,67.4578388507183,4.2262180645453045
E01001544,Enfield 009D,E02000285,Enfield 009,E09000010,Enfield,0.945,,,9.567,0.068,0.06,5.185,-0.875,-0.669,25.41,17.979,1659,154.06,96.47999999999999,99.22,159.0,95.84086799276673,4.573069095193327
E01001406,Enfield 015B,E02000291,Enfield 015,E09000010,Enfield,0.959,,,24.464,0.151,0.114,13.495999999999999,-0.21100000000000002,0.36899999999999994,35.962,29.764,1635,139.68,83.14,99.02000000000001,290.0,177.37003058103974,5.183860216017412
E01001425,Enfield 027B,E02000303,Enfield 027,E09000010,Enfield,0.962,,,48.205,0.298,0.167,38.933,-0.03,1.579,49.53,36.817,2112,117.24000000000001,80.4,95.56,414.0,196.02272727272725,5.283319088950379
E01001463,Enfield 031A,E02000307,Enfield 031,E09000010,Enfield,0.952,,,22.651000000000003,0.176,0.08299999999999999,21.372,-0.57,0.163,36.859,21.714,1664,137.25,95.55000000000001,99.1,61.0,36.65865384615385,3.6285627776659206
E01001499,Enfield 031F,E02000307,Enfield 031,E09000010,Enfield,0.97,,,24.023,0.171,0.08800000000000001,13.669,-0.281,0.23,39.624,30.283,1550,140.725,92.32499999999999,99.7,111.0,71.61290322580645,4.285142636421586
E01001501,Enfield 036E,E02000312,Enfield 036,E09000010,Enfield,0.959,,,26.291,0.166,0.091,11.411,-0.129,0.579,41.055,36.526,2068,131.76666666666668,68.83333333333333,96.53333333333335,456.0,220.5029013539652,5.400435688062903
E01001516,Enfield 005D,E02000281,Enfield 005,E09000010,Enfield,0.939,,,28.911,0.187,0.128,26.884,-0.273,0.046,41.924,26.708,1836,139.76,93.16,98.84,193.0,105.119825708061,4.6645688868639406
E01001543,Enfield 009C,E02000285,Enfield 009,E09000010,Enfield,0.959,,,9.625,0.067,0.043,9.873,-1.005,-0.75,29.816,17.56,1599,155.04000000000002,98.34,100.0,41.0,25.64102564102564,3.282452344969581
E01001399,Enfield 021B,E02000297,Enfield 021,E09000010,Enfield,0.96,,,11.221,0.075,0.049999999999999996,10.023,-1.024,0.131,24.223,22.696000000000005,1481,158.5,99.025,99.8,69.0,46.59014179608373,3.8626256346638552
E01001420,Enfield 020B,E02000296,Enfield 020,E09000010,Enfield,0.938,,,26.371,0.157,0.103,20.371999999999996,-0.06099999999999999,-0.051,46.158,25.744,1660,155.48,94.52000000000001,99.16,74.0,44.57831325301205,3.8194320168364313
E01001433,Enfield 007A,E02000283,Enfield 007,E09000010,Enfield,0.961,,,36.086,0.23,0.139,47.992,-0.099,0.047,45.88600000000001,27.74,1908,148.625,94.725,98.975,127.0,66.56184486373165,4.213043398608386
