lsoa_code,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000713,6.567933032839665,57.501609787508045,12.878300064391501,12.878300064391501,42.498390212491955
E01000714,10.369553226696084,54.60562603419746,17.319360176503036,17.319360176503036,45.39437396580254
E01000715,11.118508655126497,51.997336884154464,17.44340878828229,17.44340878828229,48.002663115845536
E01000716,12.262773722627736,52.700729927007295,19.197080291970803,19.197080291970803,47.299270072992705
E01000717,9.853249475890985,52.620545073375254,17.120894479385047,17.120894479385047,47.379454926624746
E01000718,12.622549019607842,44.669117647058826,20.098039215686274,20.098039215686274,55.330882352941174
E01000719,18.331226295828067,33.312262958280655,30.78381795195955,30.78381795195955,66.68773704171934
E01000720,22.13967310549777,32.61515601783061,34.76968796433878,34.76968796433878,67.3848439821694
E01000721,23.102866779089375,31.534569983136596,34.40134907251265,34.40134907251265,68.46543001686341
E01000722,18.126684636118597,32.075471698113205,29.514824797843666,29.514824797843666,67.9245283018868
E01000723,22.541743970315398,27.27272727272727,33.39517625231911,33.39517625231911,72.72727272727273
E01000724,21.4171974522293,30.65286624203822,32.72292993630573,32.72292993630573,69.34713375796179
E01000725,18.878637331440736,29.595457771469125,30.518097941802697,30.518097941802697,70.40454222853087
E01000726,19.251824817518248,30.83941605839416,30.930656934306572,30.930656934306572,69.16058394160584
E01000727,18.05157593123209,36.31805157593123,27.07736389684814,27.07736389684814,63.68194842406877
E01000728,23.484848484848484,29.393939393939394,33.939393939393945,33.939393939393945,70.60606060606061
E01000729,20.041608876560332,28.57142857142857,33.91123439667129,33.91123439667129,71.42857142857143
E01000730,23.820224719101123,26.29213483146067,35.655430711610485,35.655430711610485,73.70786516853933
E01000731,20.618556701030926,31.865042174320525,32.239925023430175,32.239925023430175,68.13495782567948
E01000732,16.107931316434996,36.38593622240393,25.756336876533116,25.756336876533116,63.61406377759607
E01000733,17.301829268292682,32.46951219512195,29.64939024390244,29.64939024390244,67.53048780487805
E01000734,13.805970149253731,36.84701492537313,25.0,25.0,63.15298507462687
E01000735,22.605042016806724,26.47058823529412,33.10924369747899,33.10924369747899,73.52941176470588
E01000736,17.31366459627329,27.406832298136646,30.27950310559006,30.27950310559006,72.59316770186335
E01000737,19.051959890610757,30.446672743846854,29.899726526891524,29.899726526891524,69.55332725615315
E01000738,21.00656455142232,30.707512764405543,30.34281546316557,30.34281546316557,69.29248723559445
