lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031209,17.167,0.052,0.043,3.545,-0.981,-1.181,52.278,46.956,2195
E01031210,9.746,0.05899999999999999,0.035,1.43,-0.578,-0.482,34.524,20.685,1259
E01031211,15.145,0.084,0.079,11.106,-0.011,0.082,23.014,21.305,1132
E01031213,12.914,0.049,0.047,7.952,-0.921,0.18999999999999997,34.514,32.39,1835
E01031214,3.898,0.045,0.038,4.839,-1.004,-1.472,18.082,1.903,1871
E01031215,12.632,0.086,0.078,14.348,-0.171,-0.532,11.043,20.917,1693
E01031216,13.265,0.114,0.07,17.65,0.063,-0.7739999999999999,16.19,4.734,1541
E01031217,10.217,0.049,0.04,6.388,-0.567,-0.807,37.732,17.08,1200
E01031218,9.427,0.041,0.028,1.976,-1.171,-0.561,40.065,22.396,1213
E01031219,7.7410000000000005,0.074,0.056,6.05,-0.723,-0.627,17.879,7.843,1476
E01031220,7.621,0.065,0.054,11.59,-0.542,-0.38500000000000006,10.681,7.256,1506
E01031221,15.212999999999997,0.125,0.066,20.499,-0.39,-0.026000000000000002,17.709,19.841,1581
E01031222,6.981,0.049,0.049,5.589,-0.859,-0.416,10.811,25.16,1930
E01031223,8.746,0.05500000000000001,0.06199999999999999,11.293,-0.284,-0.556,9.574,17.433,1378
E01031224,12.104,0.053,0.049,4.022,-0.534,-0.325,26.703,42.224,1191
E01031225,4.707,0.031,0.043,1.52,-1.044,-0.177,16.255,11.558999999999997,1731
E01031227,6.135,0.055,0.045,4.294,-0.64,-1.37,20.003,11.384,1956
E01031228,2.954,0.027,0.028,2.777,-1.025,-1.079,16.889,9.298,1602
E01031229,14.343000000000002,0.078,0.058,8.174,-0.363,0.05,17.488,44.828,1858
E01031231,21.68,0.134,0.11300000000000002,27.658,0.365,-0.021,20.557,13.072,2437
E01031232,5.349,0.041,0.04,3.244,-0.888,-0.738,22.254,10.249,2415
