lsoa_code,rDERI_overall_z,rDERI_score_0_10,rDERI_decile
E01000229,0.3528632474587356,5.452385221325015,10
E01000230,-0.15695095202655493,3.8618883041823278,6
E01000231,-0.010878128351877292,4.317600161497132,8
E01000232,-0.019349886942511312,4.2911703250296815,8
E01000233,-0.5150084725776733,2.7448354971572075,2
E01000234,-0.41815812887103404,3.0469851297981556,3
E01000235,-0.184791284579955,3.7750332045340333,6
E01000236,-0.3090153252887163,3.387484262229626,4
E01000237,-0.4835563541709858,2.8429584945432125,2
E01000238,-0.46015823696153796,2.9159549574234966,3
E01000239,-0.25841262361121,3.5453524445957134,5
E01000240,-0.1723311144388843,3.813905919763335,6
E01000241,-0.3145494044272098,3.3702192746755637,4
E01000242,0.024771315788221393,4.428817799334451,8
E01000243,-0.22418933226440943,3.6521208308754938,5
E01000244,-0.2634239418465986,3.529718344540726,5
E01000245,0.03162310829053964,4.450193733670608,8
E01000246,-0.2423239069463646,3.5955453467982297,5
E01000247,-0.45197320361800614,2.9414902805132432,3
E01000248,-0.2438581095879385,3.590759005864299,5
E01000249,-0.41965117392049134,3.042327190590667,3
E01000250,-0.017231366970838023,4.297779594617021,8
E01000251,0.11909067208526343,4.7230713638071204,9
E01000252,-0.020278208464778846,4.2882741865526155,8
E01000253,-0.05671242835931497,4.17460823829291,7
E01000254,-0.3207389138904273,3.350909503135635,4
E01000255,0.46105159258058315,5.78990667435789,10
E01000256,-0.25295055092195634,3.562392789455151,5
E01000257,-0.11848864188604118,3.9818814031710072,7
E01000258,-0.28164750830979585,3.4728652276437804,5
E01000259,-0.19363187228888257,3.7474527104815443,6
E01000260,-0.29043645965849546,3.445445826538168,4
E01000261,-0.020692206490904825,4.286982612906921,8
E01000263,-0.4403485905373376,2.9777562599356417,3
E01000264,-0.10919750835104257,4.010867491159721,7
E01000265,-0.17573840669984717,3.8032759925421304,6
E01000266,-0.43054316921719415,3.0083468013460584,3
E01000267,-0.3959231944861867,3.1163527437792364,3
E01000268,-0.23321684807021728,3.623957166401083,5
E01000269,-0.3054532654142863,3.3985970269479853,4
E01000270,-0.2863787878845621,3.4581047804349674,5
E01000271,-0.27602004581334816,3.490421548674015,5
E01000272,-0.2512241237268784,3.5677788244738204,5
E01000273,0.20438549754726706,4.989170576191759,9
E01000274,-0.19118507462264203,3.7550861270261526,6
E01000275,0.06557139142257584,4.5561041608778226,8
E01000276,-0.7423378619744766,2.0356228205064126,1
E01000277,0.5520209614384539,6.073709088784431,10
E01000278,-0.6592896287907268,2.2947132087032447,1
E01000279,0.05875706254941148,4.534845103997674,8
E01000280,-0.4189293493675768,3.0445791084997555,3
E01000281,-0.3479796421684395,3.2659250237103024,4
E01000282,-0.44031147545420674,2.977872050012416,3
E01000283,-0.5832889475896362,2.5318169403629716,2
E01000284,-0.04579956271055974,4.2086537379848785,7
