lsoa_code,major_cat,crime_count_window
E01000052,BURGLARY,8
E01000052,DRUG OFFENCES,15
E01000052,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000052,POSSESSION OF WEAPONS,1
E01000052,PUBLIC ORDER OFFENCES,9
E01000052,ROBBERY,3
E01000052,THEFT,10
E01000052,VEHICLE OFFENCES,16
E01000052,VIOLENCE AGAINST THE PERSON,85
E01000053,ARSON AND CRIMINAL DAMAGE,8
E01000053,BURGLARY,11
E01000053,DRUG OFFENCES,3
E01000053,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000053,POSSESSION OF WEAPONS,0
E01000053,PUBLIC ORDER OFFENCES,11
E01000053,ROBBERY,4
E01000053,THEFT,15
E01000053,VEHICLE OFFENCES,13
E01000053,VIOLENCE AGAINST THE PERSON,48
E01000054,ARSON AND CRIMINAL DAMAGE,7
E01000054,BURGLARY,1
E01000054,DRUG OFFENCES,4
E01000054,MISCELLANEOUS CRIMES AGAINST SOCIETY,5
E01000054,POSSESSION OF WEAPONS,0
E01000054,PUBLIC ORDER OFFENCES,2
E01000054,ROBBERY,2
E01000054,THEFT,10
E01000054,VEHICLE OFFENCES,10
E01000054,VIOLENCE AGAINST THE PERSON,46
E01000055,ARSON AND CRIMINAL DAMAGE,5
E01000055,BURGLARY,6
E01000055,DRUG OFFENCES,8
E01000055,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000055,POSSESSION OF WEAPONS,0
E01000055,PUBLIC ORDER OFFENCES,6
E01000055,ROBBERY,2
E01000055,THEFT,8
E01000055,VEHICLE OFFENCES,9
E01000055,VIOLENCE AGAINST THE PERSON,48
E01000056,ARSON AND CRIMINAL DAMAGE,14
E01000056,BURGLARY,7
E01000056,DRUG OFFENCES,33
E01000056,MISCELLANEOUS CRIMES AGAINST SOCIETY,5
E01000056,POSSESSION OF WEAPONS,3
E01000056,PUBLIC ORDER OFFENCES,20
E01000056,ROBBERY,20
E01000056,THEFT,46
E01000056,VEHICLE OFFENCES,49
E01000056,VIOLENCE AGAINST THE PERSON,72
E01000057,ARSON AND CRIMINAL DAMAGE,9
E01000057,BURGLARY,8
E01000057,DRUG OFFENCES,7
E01000057,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
E01000057,POSSESSION OF WEAPONS,0
E01000057,PUBLIC ORDER OFFENCES,5
E01000057,ROBBERY,13
E01000057,THEFT,78
E01000057,VEHICLE OFFENCES,16
E01000057,VIOLENCE AGAINST THE PERSON,33
E01000058,ARSON AND CRIMINAL DAMAGE,8
E01000058,BURGLARY,3
E01000058,DRUG OFFENCES,7
E01000058,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
E01000058,POSSESSION OF WEAPONS,0
E01000058,PUBLIC ORDER OFFENCES,8
E01000058,ROBBERY,3
E01000058,THEFT,7
E01000058,VEHICLE OFFENCES,11
E01000058,VIOLENCE AGAINST THE PERSON,61
E01000059,ARSON AND CRIMINAL DAMAGE,12
E01000059,BURGLARY,4
E01000059,DRUG OFFENCES,6
E01000059,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000059,PUBLIC ORDER OFFENCES,6
E01000059,ROBBERY,6
E01000059,THEFT,11
E01000059,VEHICLE OFFENCES,15
E01000059,VIOLENCE AGAINST THE PERSON,36
E01000060,ARSON AND CRIMINAL DAMAGE,22
E01000060,BURGLARY,6
E01000060,DRUG OFFENCES,27
E01000060,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000060,POSSESSION OF WEAPONS,2
E01000060,PUBLIC ORDER OFFENCES,16
E01000060,ROBBERY,15
E01000060,THEFT,96
E01000060,VEHICLE OFFENCES,37
E01000060,VIOLENCE AGAINST THE PERSON,81
E01000061,ARSON AND CRIMINAL DAMAGE,23
E01000061,BURGLARY,9
E01000061,DRUG OFFENCES,25
E01000061,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000061,POSSESSION OF WEAPONS,3
E01000061,PUBLIC ORDER OFFENCES,16
E01000061,ROBBERY,19
E01000061,THEFT,20
E01000061,VEHICLE OFFENCES,44
E01000061,VIOLENCE AGAINST THE PERSON,125
E01000062,ARSON AND CRIMINAL DAMAGE,27
E01000062,BURGLARY,11
E01000062,DRUG OFFENCES,10
E01000062,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000062,POSSESSION OF WEAPONS,2
E01000062,PUBLIC ORDER OFFENCES,14
E01000062,ROBBERY,9
E01000062,THEFT,17
E01000062,VEHICLE OFFENCES,46
E01000062,VIOLENCE AGAINST THE PERSON,69
E01000063,ARSON AND CRIMINAL DAMAGE,5
E01000063,BURGLARY,4
E01000063,DRUG OFFENCES,6
E01000063,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000063,PUBLIC ORDER OFFENCES,5
E01000063,ROBBERY,3
E01000063,THEFT,11
E01000063,VEHICLE OFFENCES,9
E01000063,VIOLENCE AGAINST THE PERSON,41
E01000064,ARSON AND CRIMINAL DAMAGE,14
E01000064,BURGLARY,7
E01000064,DRUG OFFENCES,10
E01000064,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000064,PUBLIC ORDER OFFENCES,17
E01000064,ROBBERY,5
E01000064,THEFT,35
E01000064,VEHICLE OFFENCES,17
E01000064,VIOLENCE AGAINST THE PERSON,56
E01000065,ARSON AND CRIMINAL DAMAGE,14
E01000065,BURGLARY,9
E01000065,DRUG OFFENCES,6
E01000065,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000065,PUBLIC ORDER OFFENCES,7
E01000065,ROBBERY,6
E01000065,THEFT,11
E01000065,VEHICLE OFFENCES,19
E01000065,VIOLENCE AGAINST THE PERSON,60
E01000066,ARSON AND CRIMINAL DAMAGE,3
E01000066,BURGLARY,10
E01000066,DRUG OFFENCES,11
E01000066,MISCELLANEOUS CRIMES AGAINST SOCIETY,8
E01000066,POSSESSION OF WEAPONS,1
E01000066,PUBLIC ORDER OFFENCES,9
E01000066,ROBBERY,6
E01000066,THEFT,12
E01000066,VEHICLE OFFENCES,17
E01000066,VIOLENCE AGAINST THE PERSON,60
E01000067,ARSON AND CRIMINAL DAMAGE,13
E01000067,BURGLARY,11
E01000067,DRUG OFFENCES,3
E01000067,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000067,POSSESSION OF WEAPONS,0
E01000067,PUBLIC ORDER OFFENCES,5
E01000067,ROBBERY,6
E01000067,THEFT,13
E01000067,VEHICLE OFFENCES,17
E01000067,VIOLENCE AGAINST THE PERSON,43
E01000068,ARSON AND CRIMINAL DAMAGE,7
E01000068,BURGLARY,2
E01000068,DRUG OFFENCES,23
E01000068,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000068,POSSESSION OF WEAPONS,2
E01000068,PUBLIC ORDER OFFENCES,7
E01000068,ROBBERY,10
E01000068,THEFT,24
E01000068,VEHICLE OFFENCES,13
E01000068,VIOLENCE AGAINST THE PERSON,48
E01000069,ARSON AND CRIMINAL DAMAGE,5
E01000069,BURGLARY,2
E01000069,DRUG OFFENCES,14
E01000069,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
E01000069,PUBLIC ORDER OFFENCES,2
E01000069,ROBBERY,4
E01000069,THEFT,7
E01000069,VEHICLE OFFENCES,16
E01000069,VIOLENCE AGAINST THE PERSON,19
E01000070,ARSON AND CRIMINAL DAMAGE,9
E01000070,BURGLARY,16
E01000070,DRUG OFFENCES,26
E01000070,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000070,POSSESSION OF WEAPONS,1
E01000070,PUBLIC ORDER OFFENCES,10
E01000070,ROBBERY,30
E01000070,THEFT,102
E01000070,VEHICLE OFFENCES,20
E01000070,VIOLENCE AGAINST THE PERSON,66
E01000071,ARSON AND CRIMINAL DAMAGE,10
E01000071,BURGLARY,3
E01000071,DRUG OFFENCES,4
E01000071,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000071,PUBLIC ORDER OFFENCES,10
E01000071,ROBBERY,16
E01000071,THEFT,13
E01000071,VEHICLE OFFENCES,19
E01000071,VIOLENCE AGAINST THE PERSON,64
E01000072,ARSON AND CRIMINAL DAMAGE,26
E01000072,BURGLARY,3
E01000072,DRUG OFFENCES,13
E01000072,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000072,POSSESSION OF WEAPONS,1
E01000072,PUBLIC ORDER OFFENCES,10
E01000072,ROBBERY,31
E01000072,THEFT,37
E01000072,VEHICLE OFFENCES,24
E01000072,VIOLENCE AGAINST THE PERSON,52
E01000073,ARSON AND CRIMINAL DAMAGE,10
E01000073,BURGLARY,2
E01000073,DRUG OFFENCES,22
