lsoa_code,ics_score_z,ics_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01001295,0.1395208232214559,0.22401282273681603,0.0008165681384517099,1.0,Not sig,0.14837174538853692,0.81,Not sig
E01001201,-0.3701753431314452,-0.5943487259304776,0.07734158291841299,0.75,Not sig,-0.5797392799650658,0.51,Not sig
E01001202,0.0074732124513241,0.01199889290701795,0.0020500738045584692,0.99,Not sig,0.08494569583055375,0.94,Not sig
E01001204,-0.4030276113091051,-0.647095901282957,0.406935096671045,0.16,Not sig,-0.9908336810200845,0.23,Not sig
E01001217,-0.0525041559754645,-0.0842999913124713,-0.02488552998615952,0.88,Not sig,0.16850882689573188,0.83,Not sig
E01001224,-0.8062544659445348,-1.2945117050644164,1.0901640215735333,0.03,LL (coldspot),-2.081013189013267,0.07,Not sig
E01001229,0.658263801662721,1.0568998154625011,0.039028807787307815,0.81,Not sig,1.2769386232779993,0.27,Not sig
E01001232,0.278710986248973,0.44749474175832377,-0.07810318039423077,0.69,Not sig,0.20508877342548756,0.79,Not sig
E01001242,0.017716839210671,0.02844592706607945,0.00970186862726154,0.91,Not sig,0.2658632055794866,0.71,Not sig
E01001243,-0.4341802600818366,-0.6971141897805191,-0.37333450215548086,0.23,Not sig,-0.20692163648375278,0.92,Not sig
E01001257,0.4564083365890158,0.7328033008924852,0.3250807519172815,0.28,Not sig,1.0109934224379686,0.29,Not sig
E01001279,-0.5557836174500732,-0.8923589619181819,0.7317825257855469,0.16,Not sig,-1.6561350199095044,0.13,Not sig
E01001296,-0.2266645218445984,-0.3639296140913982,-0.052582747936950266,0.78,Not sig,-0.3576069716010563,0.85,Not sig
E01001298,0.0125985978843316,0.020228145229015393,0.004211581244961874,0.97,Not sig,0.055790396382807465,0.78,Not sig
E01001299,-0.5825895567828467,-0.9353982301607087,0.2586130255513414,0.37,Not sig,-1.178075126064267,0.26,Not sig
E01001306,-0.1450261596616229,-0.23285211946401296,0.21312772958618215,0.42,Not sig,-1.196853244906437,0.21,Not sig
E01001345,0.2746278773425118,0.44093895509824665,-0.2156717440511864,0.37,Not sig,0.04860098101437546,0.97,Not sig
E01001357,-0.2447628488921341,-0.3929880530765047,0.08125955701731301,0.66,Not sig,-0.7148636781877403,0.62,Not sig
E01001360,-0.2857711439264773,-0.458830439282083,0.17331982064744395,0.59,Not sig,-0.47902927706722936,0.52,Not sig
E01001368,-0.0351283219826933,-0.05640157779789003,-0.009781037877762537,0.93,Not sig,0.12950754801499492,0.92,Not sig
E01001384,-0.7982519810971735,-1.2816630192684577,0.07542528606797744,0.64,Not sig,-1.4705239821053868,0.24,Not sig
E01001389,0.6955547902326626,1.1167737426607336,-0.0036904731625615104,0.95,Not sig,1.0755396915815685,0.33,Not sig
E01001253,-0.8195742726949256,-1.3158978138872395,0.196739609567056,0.42,Not sig,-1.3132520367806186,0.22,Not sig
