lsoa_code,Region name,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002530,London,1.2177957382290077,6,-0.43208735291819383,0.6255633110681389,-0.2084306313791536
E01002531,London,1.1845650086844806,5,-0.36482861621887824,-0.0637767418396207,0.2036042423026847
E01002535,London,1.0784030150245045,3,-0.2419325760862605,-0.5792561981028411,-0.07484633346060358
E01002536,London,1.0285462412231425,2,-0.13582696388997323,-0.4250442981908357,-0.6503010127742571
E01002537,London,0.9211541132193988,1,-0.5532628904271731,-0.6775318076658624,-0.659187062792814
E01002538,London,1.2052844888175172,5,-0.2565611389166637,-0.3197032266034134,0.48222796683776287
E01002544,London,1.0030823798400816,2,-0.5222051848054615,-0.2787642140155969,-0.5711561132879726
E01002545,London,1.1914202299680796,5,-0.38698091383366057,0.5809445165920236,-0.3756338960167884
E01002546,London,1.0284580254728695,2,-0.35742484293884286,-0.16196579188691293,-0.6923392385164228
E01002547,London,1.0813807236681718,3,-0.26369182690103776,0.14429624432828972,-0.7578178766793485
E01002548,London,1.2799000672540455,7,-0.18698735109452547,0.04467835183144887,0.5199064473988814
E01002549,London,1.0922530721261619,3,-0.343058741828498,-0.131500588957415,-0.33393164939901654
E01002550,London,1.0728814865819933,3,-0.3410862395774414,0.43586463540656956,-1.0257142541561517
E01002551,London,1.1402069569799163,4,-0.4736800846162639,0.003475851162404505,-0.035177454310479396
E01002552,London,1.1320499361565253,4,-0.3630123527816836,0.3000799677040095,-0.49400860424436654
E01002553,London,1.2653186317627843,7,-0.44068377602414227,0.7066581735082027,0.01945599040810082
E01002555,London,1.058971259074783,3,-0.44833774874057,-0.2831756143719695,-0.28734695076127736
E01002556,London,1.1364255034437314,4,-0.29606046831549593,0.1364531284998353,-0.3696763469039223
E01002557,London,1.2207857266100965,6,-0.35778190038704466,0.20760011641534645,0.15412637751308728
E01002558,London,1.2193506160115488,6,-0.16173060918240814,0.2304161069979329,-0.07381202248275716
E01002560,London,1.3498706688883844,8,-0.5067147555300701,0.48823395612945986,0.8383518947353458
E01002561,London,1.086284497798144,3,-0.45357078223194164,0.49093500877507557,-0.8835816671982132
E01002563,London,1.0636336184008546,3,-0.4103458827334487,-0.3003590680268803,-0.278685291175708
E01002564,London,1.247084996817939,6,-0.46296192208765086,0.4632996088195068,0.16984063757374715
E01002566,London,1.0941904916254777,3,-0.9010555253632105,-0.03509935336345852,0.13991003574940045
E01002567,London,1.0991916846743275,3,-0.38714211754037514,-0.1636918646555513,-0.21379907185290095
E01002568,London,1.2687982307872125,7,-0.8074944724255549,0.24156960861405985,0.8733492736982963
E01002569,London,0.8626135627184356,1,-0.9565481237852183,-0.6938320220096269,-0.6096276285073007
E01002570,London,0.9543139427988374,1,-0.34998460041120616,-0.6215256333758395,-0.7088732325859842
E01002573,London,0.915777457018756,1,-0.4880511951385739,-0.7791122542573257,-0.6568033465196625
E01002575,London,0.8745492799043446,1,-0.42665385289819113,-0.8850589133165732,-0.8728511352544203
E01002576,London,1.0831768049919686,3,-0.46030362719018664,-0.11993424613182281,-0.28562282606827044
E01002577,London,0.8984927263569225,1,-0.6094807850107813,-0.5968202738777764,-0.8269199193850508
E01002578,London,0.965992118856456,1,-0.4434113942625065,-0.73167409110353,-0.43148198690384426
E01002579,London,1.0532727445595766,2,-0.36125074262599016,-0.6408364174870097,-0.05279260677948846
E01002581,London,0.9662295534348901,1,-0.4246642542960993,-0.5452741541072744,-0.6351282756136921
E01002582,London,0.9044381994524598,1,-0.5497578703384544,-0.6170622037837868,-0.8288204630965922
E01002583,London,1.1262421456834197,4,-0.3090149845197953,0.04013559830629843,-0.32477177301863097
E01002584,London,1.090751384154269,3,-0.23338931416328265,-0.2463059416351145,-0.33828766815678457
E01002585,London,1.271868305926303,7,-0.3248535401023227,0.4226710795207793,0.2290123535887573
E01002587,London,1.2131221960295497,6,-0.36293067943423,0.19705467998140963,0.12138056902540668
E01002590,London,1.2177753810234273,6,-0.5185841620744864,0.08189016657087762,0.42161064744027676
E01002591,London,1.1645535487110867,5,-0.43378874085611946,0.30622452176776965,-0.2239263248198852
E01002592,London,1.2030352763642562,5,-0.21542064339295455,-0.055604297370003344,0.1627716085143517
E01002593,London,1.3057194015365303,7,-0.3598320561120469,0.19668039413200838,0.703949238093004
E01002594,London,1.1374097605869042,4,-0.4158513306983986,0.14903067478636814,-0.2562416894681198
E01002595,London,1.2702871782179508,7,-0.23564898786076574,0.48751816551453064,0.06496664495921882
E01002596,London,0.9626561225987551,1,-0.35546757533047674,-0.11903150646685481,-1.153154720980979
E01002599,London,1.1783695997685864,5,-0.42097039829691535,0.316722655957222,-0.15991362119333372
E01002600,London,1.226762550379474,6,-0.3289258045113909,0.6483234995161001,-0.2776744975153081
E01002601,London,1.0192194730166133,2,-0.022195114328099768,-0.23180030005979152,-1.0161299592676913
E01002602,London,1.0203935860254325,2,-0.5358456081917036,0.017210896229546746,-0.7440692699874075
E01002604,London,1.1984832050385996,5,-0.6322366120462758,0.6796159753038373,-0.18440565358403319
E01002605,London,1.2117470436402458,6,-0.3236136180614175,0.45580446331880886,-0.18537840707235823
E01002606,London,1.3138789742417678,8,-0.42955584536068675,0.5061993729693551,0.5157294801232678
E01002608,London,1.2047621084745417,5,-0.4709291343157067,0.4967600389547699,-0.12316919088724476
E01002609,London,1.075000946324371,3,-0.5971515729298847,0.11113274998973041,-0.4315202491872667
E01002613,London,1.1271168318616258,4,-0.5046730614718553,0.2710899806433345,-0.35453931865088456
E01002616,London,1.1014116683145534,3,-0.4624285052102893,0.1257262597083134,-0.41389862591084087
E01002617,London,1.0372854666505524,2,-0.4087251968168835,-0.21388503301068815,-0.5333227157492779
E01002618,London,1.1204995058111566,4,-0.5178323040767826,-0.09381370033719037,-0.018303517580971835
E01002619,London,1.2975423936406179,7,-0.3843298907285199,0.020952644219964952,0.8524891857850786
E01002620,London,1.1837282306416783,5,-0.24597746447883514,0.12109334462164227,-0.10540614403000752
E01002621,London,1.209401157797888,6,-0.39920744764034194,0.018652070644860987,0.31253982366439353
