lsoa_code,crime_count_window,crime_rate_per_1000_window
E01002612,296.0,159.13978494623657
E01002643,159.0,65.78402978899463
E01002653,68.0,36.32478632478633
E01002657,82.0,44.06233207952714
E01002578,146.0,96.81697612732096
E01002590,232.0,116.99445284921836
E01002617,56.0,35.19798868636078
E01002625,70.0,41.666666666666664
E01002660,166.0,90.31556039173013
E01002662,222.0,92.65442404006679
E01002674,65.0,34.40974060349391
E01002687,105.0,60.206422018348626
E01002622,114.0,62.2610595303113
E01002623,109.0,63.51981351981352
E01002640,103.0,53.36787564766839
E01002645,210.0,91.30434782608695
E01002663,118.0,54.35283279594657
E01002693,365.0,202.77777777777777
E01002575,97.0,57.772483621203094
E01002576,114.0,66.70567583382095
E01002581,103.0,55.139186295503215
E01002585,113.0,61.917808219178085
E01002595,134.0,64.98545101842872
E01002672,189.0,115.4551007941356
E01002577,93.0,58.16135084427768
E01002579,88.0,50.57471264367816
E01002604,114.0,67.2566371681416
E01002655,80.0,42.32804232804233
E01002675,102.0,39.984319874559
E01032573,487.0,299.6923076923077
E01033082,116.0,95.23809523809523
E01033084,206.0,93.93524851801186
E01002560,168.0,97.8450786255096
E01002618,152.0,88.0648899188876
E01002557,154.0,84.61538461538461
E01002569,157.0,84.13719185423366
E01002586,94.0,52.690582959641254
E01002594,140.0,68.7960687960688
E01002620,257.0,132.8852119958635
E01002626,113.0,69.15544675642595
E01002596,235.0,124.60233297985154
E01002621,128.0,69.56521739130434
E01002628,134.0,65.20681265206812
E01002654,53.0,28.86710239651416
E01002670,61.0,30.761472516389308
E01002682,119.0,47.752808988764045
E01002607,167.0,81.70254403131115
E01002667,159.0,95.78313253012048
E01002668,146.0,73.0
E01002571,51.0,37.5
E01002635,149.0,86.02771362586604
E01002563,105.0,67.35086593970493
E01002572,188.0,119.36507936507937
E01002598,319.0,156.9109690113133
E01002677,164.0,99.03381642512076
E01002691,163.0,97.95673076923077
E01002692,307.0,160.48092002090956
E01002555,109.0,52.9126213592233
E01002593,342.0,162.62482168330956
E01002680,89.0,45.94734124935467
E01002565,392.0,132.83632666892578
E01002629,186.0,84.39201451905626
E01002634,158.0,92.61430246189919
E01002562,231.0,167.27009413468502
E01002583,103.0,58.656036446469244
E01002637,528.0,313.91200951248516
E01002589,237.0,102.99869621903521
E01002608,194.0,108.01781737193764
E01002614,164.0,83.12214901165737
E01002676,76.0,44.18604651162791
E01002679,134.0,74.98601007274762
E01002601,141.0,83.2841110454814
E01002611,133.0,73.56194690265487
E01002638,218.0,109.0
E01002615,207.0,131.42857142857142
E01002650,218.0,91.0609857978279
E01002686,237.0,141.74641148325358
E01002592,307.0,145.98193057536852
E01002633,204.0,115.9749857873792
E01002610,115.0,68.82106523040096
E01002559,244.0,98.82543539894695
E01002678,312.0,164.12414518674382
E01002810,317.0,184.62434478741994
E01002809,130.0,78.03121248499399
E01002799,163.0,79.7846304454234
E01002796,100.0,84.96176720475786
E01002789,144.0,72.80080889787665
E01002785,208.0,102.8175976272862
E01002783,183.0,107.45742806811509
E01002781,102.0,67.46031746031746
E01002780,106.0,59.617547806524186
E01002778,150.0,78.49293563579278
E01002777,113.0,66.35349383440986
E01002772,250.0,132.7668613913967
E01002768,143.0,81.90148911798397
