lsoa_code,dpi_score,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002825,0.971,9.697,0.044,0.037,0.357,-2.123,-0.572,29.414,41.394,1972,208.55,91.6,98.28333333333336,255.0,129.31034482758622,4.869918873363015,5.509065550906555,68.6889818688982,9.205020920502092,9.205020920502092,31.311018131101804,7.507002801120448,3.1372549019607843,4.369747899159663,4.481792717086835,88.01120448179272,7.507002801120448,7.92,7.92,1.9795408913934605,1.0,-1.2981915742581969,-0.5961946600637884,-0.6572306726858542
E01002864,0.972,9.506,0.034,0.013,0.582,-2.789,0.607,27.567000000000004,33.383,1448,181.46,87.2,92.06,148.0,102.20994475138122,4.636765212274736,5.897435897435897,66.58119658119658,8.461538461538462,8.461538461538462,33.41880341880342,6.824324324324324,2.702702702702702,4.121621621621622,3.9189189189189193,89.25675675675676,6.824324324324324,8.35,8.35,2.553561485805202,3.0,0.2989810593122918,-0.8499232787815321,-0.4422134091185246
E01002912,0.964,13.905,0.059,0.032,11.598,-0.964,0.036,30.439,46.513,1822,120.06666666666666,82.38333333333334,100.0,409.0,224.4785949506037,5.418225231823566,9.304084720121027,64.22087745839636,12.405446293494704,12.405446293494704,35.77912254160364,12.559081701553003,6.954760297096556,5.604321404456448,4.861580013504389,82.57933828494261,12.559081701553003,7.17,7.17,2.589672596573441,3.0,-0.3678428859406697,-0.4472265617186493,-0.080044806801944
E01002819,0.959,11.072,0.015,0.006,6.697,-2.563,-0.287,34.535,46.18800000000001,1547,93.47142857142856,58.285714285714285,69.54285714285714,811.0,524.240465416936,6.263856187093785,6.991525423728813,73.51694915254238,8.898305084745763,8.898305084745763,26.48305084745762,7.254361799816346,2.1120293847566574,5.142332415059688,4.132231404958678,88.61340679522498,7.254361799816346,9.85,9.85,2.583475052535797,3.0,0.4104500710722044,-0.5079248125740428,-0.8144657949743909
E01002826,0.963,10.756,0.035,0.019,0.45,-2.214,-0.139,31.767,48.068,1512,155.22857142857143,89.84285714285714,92.67142857142858,368.0,243.38624338624336,5.498749938422922,7.337723424270931,72.81279397930386,9.219190968955786,9.219190968955786,27.187206020696134,9.076433121019107,3.5031847133757963,5.573248407643312,4.45859872611465,86.46496815286623,9.076433121019107,8.01,8.01,2.5958425377513663,3.0,0.4376606559610268,-0.5217023980672105,-0.7943211718813462
E01002900,0.967,8.274,0.01,0.008,0.845,-2.973,0.326,26.726,34.948,1554,156.95833333333334,93.4,100.0,82.0,52.76705276705277,3.984660877473589,9.455958549222798,71.76165803108809,10.16839378238342,10.16839378238342,28.23834196891191,11.301775147928996,4.674556213017751,6.627218934911243,5.798816568047338,82.89940828402366,11.301775147928996,10.12,10.12,2.096058689678773,1.0,-0.7180073751839887,-0.7507673678454256,-0.7664972825538937
E01002821,0.976,10.933,0.024,0.011,2.42,-2.35,0.304,31.561,44.36000000000001,1585,118.33333333333331,71.11666666666666,94.45,434.0,273.81703470031545,5.616105547874946,6.488156539649846,68.89804325437693,9.37178166838311,9.37178166838311,31.10195674562307,7.955596669750231,3.4227567067530065,4.532839962997224,4.902867715078631,87.14153561517114,7.955596669750231,10.61,10.61,2.2208059737866046,1.0,-0.1452473086326594,-0.6014925111904019,-1.1498443367834217
E01002824,0.953,10.045,0.023,0.021,0.581,-2.301,-0.078,29.808,47.261,1356,177.29999999999998,97.56666666666666,97.91666666666669,63.0,46.46017699115045,3.8598909802705847,6.460674157303371,71.81647940074907,9.363295880149812,9.363295880149812,28.18352059925093,9.83739837398374,4.390243902439024,5.447154471544716,3.333333333333333,86.82926829268293,9.83739837398374,7.94,7.94,2.133188408368515,1.0,-0.685811221755951,-0.649430834185106,-0.7992230832344682
E01002901,0.944,16.507,0.072,0.019,4.584,-1.321,0.455,31.462,60.865,1345,116.46,90.86,93.36,85.0,63.197026022304826,4.161956885982831,13.061650992685475,55.172413793103445,17.659352142110762,17.659352142110762,44.82758620689656,19.116234390009605,7.396733909702209,11.719500480307396,7.684918347742556,73.19884726224784,19.116234390009605,8.62,8.62,3.4363300732907334,9.0,-0.1828354081989672,-0.6278240646713006,2.214213430654867
E01035713,0.965,11.175020992366411,0.0201335877862595,0.0106240458015267,2.925956106870229,-2.6800419847328243,-0.1119083969465649,32.48606870229008,49.11590267175573,2620,115.82166666666666,88.805,92.205,525.0,200.38167938931295,5.305202009857369,7.038976148923792,68.9936009307737,10.296684118673648,10.296684118673648,31.006399069226305,6.906906906906906,3.003003003003003,3.903903903903904,3.903903903903904,89.1891891891892,6.906906906906906,10.3,10.3,2.7471083500682028,,,,
